Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
535693,BRAHMINFRA,XT,44.00,45.00,42.00,42.05,14793,6.37,69
540786,SHARIKA,B,6.50,6.64,6.10,6.64,98316,6.32,127
517429,ATHENAGLO,X,55.00,58.75,54.00,56.10,11578,6.31,34
511760,SEVENHILL,X,0.70,0.71,0.65,0.66,919268,6.28,999
533108,BTTL,XT,24.50,25.70,24.01,24.01,25935,6.27,97
512437,APOLLOFI,X,500.40,515.00,482.00,482.00,1269,6.25,67
521097,AMARJOTHI,X,174.80,176.90,171.00,171.75,3615,6.24,72
533007,LGBFORGE,B,9.76,10.08,9.40,9.65,65337,6.24,429
511571,SODFC,XT,110.00,112.20,101.65,104.00,5965,6.22,69
531223,ANJANI,X,30.90,30.90,29.16,29.40,21057,6.21,41
514272,BHILSPIN,XT,74.00,74.00,68.97,68.97,8851,6.19,70
524202,LACTOSE,XT,70.49,71.00,67.00,68.95,8997,6.18,59
541352,MEGASTAR,T,307.00,307.00,293.25,293.25,2078,6.17,75
519421,KSE,XT,1612.20,1639.95,1600.50,1605.00,380,6.14,18
524506,CORALAB,X,300.00,310.00,280.10,281.00,2112,6.11,59
523186,BAPACK,XT,192.00,192.00,187.00,187.10,3183,6.09,26
516003,DUROPLY,X,188.85,188.85,175.55,179.95,3340,6.07,85
511066,SAKTHIFIN,X,36.50,37.00,33.51,34.69,17460,6.06,190
543913,NXST,IF,123.16,124.00,120.50,120.82,4915,6.02,218
590006,AMRUTANJAN,B,642.85,645.95,625.50,625.50,948,6.00,124
